epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2204.3,0.43097,0.31879,0.94442,0.98221,0.97121,0.98815,0.95675,0.30533,0.22435,0.82172,0.0002774,0.0002774,0.0002774
89,2233.55,0.42158,0.31143,0.94698,0.98108,0.97654,0.98842,0.95419,0.30872,0.22495,0.81658,0.0002576,0.0002576,0.0002576
90,2263.62,0.41592,0.30971,0.94637,0.98348,0.96774,0.98723,0.95323,0.31105,0.23125,0.81348,0.0002378,0.0002378,0.0002378
91,2293.97,0.37409,0.26741,0.91063,0.99095,0.96368,0.98699,0.95372,0.29663,0.232,0.8224,0.000218,0.000218,0.000218
92,2322.37,0.37282,0.25667,0.90422,0.97648,0.97408,0.98787,0.96064,0.28531,0.21486,0.81219,0.0001982,0.0001982,0.0001982
93,2350.33,0.36398,0.24999,0.89546,0.96656,0.97947,0.98732,0.95803,0.28256,0.2167,0.80962,0.0001784,0.0001784,0.0001784
94,2377.88,0.3571,0.23664,0.89434,0.98587,0.96774,0.98779,0.96014,0.28396,0.21652,0.80501,0.0001586,0.0001586,0.0001586
95,2405.7,0.35362,0.2376,0.89258,0.98803,0.96785,0.98823,0.96171,0.27454,0.20973,0.80559,0.0001388,0.0001388,0.0001388
96,2433.41,0.35378,0.23417,0.89537,0.98649,0.97067,0.98808,0.96193,0.2775,0.20912,0.80905,0.000119,0.000119,0.000119
97,2461.45,0.35092,0.23603,0.88669,0.97938,0.97498,0.98835,0.96203,0.27392,0.20589,0.80461,9.92e-05,9.92e-05,9.92e-05
98,2489.27,0.33781,0.22984,0.881,0.9865,0.97361,0.98927,0.96368,0.27377,0.20421,0.80481,7.94e-05,7.94e-05,7.94e-05
99,2517.12,0.33645,0.22776,0.88304,0.9894,0.96481,0.98896,0.96466,0.27812,0.20973,0.80812,5.96e-05,5.96e-05,5.96e-05
100,2545.44,0.33492,0.2218,0.87984,0.98805,0.96481,0.98878,0.96539,0.27036,0.20197,0.8045,3.98e-05,3.98e-05,3.98e-05
